instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
201462,Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K. 384, Act II: Durch Zärtlichkeit und Schmeicheln",4uYqe6JOHty9Eu50ukMV3G,17,0.966,0.378,162173,0.0385,0,A,0.406,-27.698,Major,0.0564,121.058,04-Apr,0.324,Classical
116499,Johann Strauss II,"On the Beautiful Blue Danube, Op. 314",1TVd8FHpeg1Afa92kaO0kR,32,0.974,0.311,351107,0.184,0.79,D,0.0669,-14.405,Major,0.0307,96.141,04-Apr,0.26,Classical
209360,Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. I, Scène II & III - Ronde de paysans. ""Les bergers laissent ... Mais d'un éclat guerrier""",24IWuJjweYxZHNcIqig2ri,0,0.98,0.277,264013,0.154,0.0287,D,0.719,-26.829,Major,0.0631,82.149,03-Apr,0.324,Classical
76105,Johann Sebastian Bach,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",3PhgLgizo2xXv288dD41RH,35,0.961,0.612,344840,0.372,0.702,G,0.107,-14.594,Major,0.052,97.573,04-Apr,0.804,Classical
98659,Niccolò Paganini,Cantabile,6mImezl7AV8V7JtkY59veA,43,0.911,0.185,-1,0.0337,0.00226,A,0.096,-29.674,Major,0.0431,91.333,03-Apr,0.0463,Classical
66849,Bedřich Smetana,"The Bartered Bride, JB 1:100, B. 131: Act I Scene 5: Introduction: Polka - Take your partners for the polka (Chorus)",4WItPkM5wybsLwmhyFvJiJ,33,0.865,0.421,280080,0.26,0.0303,C,0.0919,-17.909,Major,0.0354,103.026,04-Apr,0.479,Classical
128994,Jonny Greenwood,For the Hungry Boy,2q95XoeFGixx8b5LNF6Ey1,40,0.839,0.165,-1,0.149,0.87,C,0.113,-16.404,Major,0.0389,86.081,04-Apr,0.053,Classical
215249,Daníel Bjarnason,Over Light Earth I. Over Light Earth,4dPTHF7N8S9jM1xIHyF2W8,30,0.614,0.1,366730,0.183,0.629,G,0.105,-18.615,Major,0.0409,73.549,03-Apr,0.0334,Classical
103681,empty_field,A Knife in the Dark,71rcvcZWR31Msh0l4Gnr8W,51,0.9,0.119,-1,0.369,0.784,A#,0.14,-15.537,Major,0.0529,75.039,05-Apr,0.0431,Classical
120856,Ludwig van Beethoven,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato (Live)",2YAOVD6TLVaHmCGATiZvhn,21,0.975,0.0606,-1,0.0322,0.827,A#,0.0953,-29.047,Major,0.0379,64.428,04-Apr,0.064,Classical
196948,Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène VI - Chanson de Méphistophélès. ""Une puce gentille""",4njERPXVhrBb3OQyW1dIYZ,0,0.952,0.449,90453,0.186,0,F,0.664,-22.082,Major,0.161,163.636,03-Apr,0.629,Classical
184293,empty_field,"Má vlast (My Country): No. 1, Vyšehrad",5XOstrokznSLNZtDomATss,29,0.929,0.176,-1,0.0325,0.895,D#,0.132,-22.866,Major,0.0387,103.136,03-Apr,0.039,Classical
38812,Robert Schumann,"Symphony No. 2 in C Major, Op. 61: III. Adagio espressivo",2gdtLnVGGg80Kj9GiqP0vH,29,0.939,0.156,623369,0.0335,0.789,C,0.124,-25.684,Minor,0.0411,67.197,04-Apr,0.0359,Classical
207632,Michael Haydn,"Missa Tempore Quadragesimae, MH 553: Agnus Dei",1nMNUr0WZiqTzqfP57k2SK,32,0.988,0.225,203133,0.0863,0.0654,F#,0.108,-19.298,Minor,0.0465,?,04-Apr,0.0393,Classical
58879,Andrea Bocelli,Fall On Me - English Version,4aF0PPxFBKdK6AG72CP0qZ,47,0.677,0.361,258816,0.155,0,F#,0.11,-11.435,Major,0.0341,84.292,03-Apr,0.219,Classical
177985,Erik Satie,Gymnopédie No. 2,7AyebpN2kre7LbB2aV3oRh,27,0.992,0.489,194893,0.00243,0.963,D,0.0804,-35.804,Minor,0.0896,67.452,03-Apr,0.35,Classical
82822,Ludwig van Beethoven,"Sonata No. 14 in C-Sharp Minor for Piano, Op. 27:2, ""Moonlight Sonata"": Adagio sostenuto",3uqWy9F8MvIKLcff60aF4P,30,0.996,0.332,406227,0.008,0.902,C#,0.108,-37.226,Minor,0.055,130.707,03-Apr,0.177,Classical
140605,Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto",1npaDLPr19R0gwlxJXXWbb,49,0.973,0.138,625680,0.0967,0.919,E,0.0605,-22.356,Major,0.0386,65.605,04-Apr,0.0384,Classical
157474,Sergei Prokofiev,"Peter and the Wolf, Op. 67: The Wolf",2QRh45dg75Yyz5P9uGeTcC,26,0.886,0.351,122000,0.202,0.0771,D,0.239,-19.204,Minor,0.0789,85.443,04-Apr,0.197,Classical
217808,empty_field,"Lieder ohne Worte, Op.62 - Arr. Fritz Kreisler: 6. Frühlingslied",2iK2ndZOt0IBdKb7aJFZau,30,0.976,0.209,140160,0.0763,0.44,A,0.0841,-24.067,Major,0.0683,173.973,04-Apr,0.303,Classical
145137,Sergei Rachmaninoff,"Vocalise, Op.34, No.14",5qAfDOvkgl0hxfBi7ygLDQ,40,0.943,0.152,327600,0.0749,0.846,E,0.293,-25.909,Minor,0.0382,87.731,04-Apr,0.0378,Classical
106390,Eric Whitacre,Water Night,5fJszr03uVM8V6P3Ek3gce,30,0.993,0.152,316427,0.0439,0.691,A#,0.157,-22.915,Minor,0.0371,135.59,01-Apr,0.0309,Classical
51892,Caroline Shaw,Partita for 8 Singers: No. 1. Allemande,5nr9S1hI8LHEh6jCkgtxLi,29,0.893,0.222,353467,0.292,0.00899,F#,0.136,-11.035,Minor,0.0345,137.676,03-Apr,0.047,Classical
160228,empty_field,Flos florum,1wKbemG5DPIVxtTQ1pmlOD,27,0.993,0.11,233147,0.142,0.000466,G#,0.0962,-19.657,Major,0.0521,77.558,03-Apr,0.0721,Classical
117600,Erik Satie,Gnossienne No. 3,6xQjMHk4BKVKKiaavbyiyR,31,0.996,0.308,160000,0.0107,0.918,A,0.0852,-32.693,Minor,0.0712,79.675,04-Apr,0.0601,Classical
198178,empty_field,"Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto",5aK019ld6aJZVjAXaoNxfa,25,0.995,0.38,220040,0.181,0.777,G,0.177,-21.9,Minor,0.0498,?,03-Apr,0.764,Classical
153431,Igor Stravinsky,The Rite of Spring: Part Two: The Sacrifice: Introduction,4anDvIFynk3VXwwKNgE4Yu,27,0.851,0.138,276693,0.00249,0.143,D,0.163,-38.759,Minor,0.0405,140.794,03-Apr,0.0329,Classical
33049,Aaron Copland,Appalachian Spring: VI. Meno mosso,5hbttdGGhvN9PUZDwgCk67,23,0.918,0.135,-1,0.0179,0.687,G#,0.11,-34.134,Major,0.0447,143.091,03-Apr,0.0349,Classical
125550,empty_field,"Schubert: Piano Trio in E-Flat Major, D. 929: II. Andante con moto",7079nY1EuvdfIxaMYaTjR9,41,0.966,0.232,558720,0.0529,0.361,C,0.0978,-18.353,Minor,0.041,87.996,04-Apr,0.0863,Classical
77023,Luca Turilli,Demonheart,7iF9B5dbSOfEeznArGFHhn,40,0.000595,0.463,308653,0.944,4.30E-06,A,0.106,-6.508,Major,0.19,179.981,04-Apr,0.465,Classical
