instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
217323,Jerry Seinfeld,Taboo Topics,3B7FO3kJ5kv3mX7yiaB7sT,13,0.861,0.629,96773,0.246,0,D,0.162,-18.581,Minor,0.949,166.511,03-Apr,0.358,Comedy
71798,Lewis Black,Alternative Energy,0j3z1Uhj0y6lUg3uQuYywv,22,0.645,0.635,217551,0.509,0,A#,0.721,-17.125,Minor,0.953,?,03-Apr,0.361,Comedy
86150,empty_field,Group Therapy,4pbQqdxHDI1oJpKxEfHxvq,19,0.691,0.514,212781,0.931,0,G#,0.812,-5.628,Major,0.919,80.328,04-Apr,0.358,Comedy
173482,Todd Barry,Two Drummers,6oNvmplQGUkmAh441Teows,17,0.807,0.526,-1,0.329,3.91E-05,C#,0.165,-19.837,Major,0.924,98.06,04-Apr,0.426,Comedy
160346,Brian Regan,Words are Weird,2HGDmmq2G1TxjYXsE6Qfgx,32,0.916,0.615,143602,0.766,0,D,0.844,-11.342,Major,0.941,127.371,03-Apr,0.0784,Comedy
121424,Kathleen Madigan,Banks,3L8FrRMimlHRgoQABRiTq9,27,0.854,0.671,139673,0.833,0,G#,0.654,-5.049,Major,0.911,55.491,04-Apr,0.505,Comedy
28463,The Toilet Bowl Cleaners,I Pooped My Pants (in a Bowling Alley),1SBq0k9KckgVqXMnQQ0BMa,20,0.693,0.441,140173,0.46,0,C,0.194,-11.703,Major,0.1,145.41,04-Apr,0.459,Comedy
26351,empty_field,Food - Spoken Word,4xa1ksCn11ZzqNuOJYqjUl,27,0.902,0.729,132533,0.419,0,A,0.412,-13.39,Minor,0.925,65.952,04-Apr,0.447,Comedy
45657,Rory Scovel,Relax/Sit,1agnIhVMiRSQ91bmr2KGVX,34,0.841,0.53,560971,0.644,0,C,0.586,-8.682,Minor,0.94,60.55,03-Apr,0.652,Comedy
45166,Comedian Bob Marley,Loons and Kayaks,4BiFH77T4UhJtIC9W4r35Z,12,0.917,0.561,154960,0.289,0,C#,0.738,-17.724,Major,0.949,167.747,03-Apr,0.512,Comedy
183581,Matt Braunger,Bathroom Graffiti,6jTEMEb03yyQAqnGepk5Kp,21,0.867,0.57,152467,0.723,0,F#,0.822,-6.048,Major,0.712,96.205,03-Apr,0.583,Comedy
93061,empty_field,Witch Burning,0JgMHia55MBfhfqZIRi3kF,14,0.849,0.649,167160,0.315,0,F,0.697,-16.819,Minor,0.923,?,04-Apr,0.444,Comedy
88016,Moshe Kasher,Jewmany,3NIgZcptBrGIgGHdrsxIEC,16,0.877,0.689,42136,0.579,0,F,0.889,-11.888,Major,0.937,126.31,03-Apr,0.949,Comedy
58364,Tom Papa,The Bus,0WQvBSn1M3XZOwAINZcv8F,14,0.811,0.429,-1,0.884,0,A,0.955,-8.726,Major,0.79,87.579,04-Apr,0.675,Comedy
106171,Adam Ferrara,Ghost Dad,6q93Jau7PPkZQG3YOf36Tz,18,0.696,0.429,-1,0.947,0,B,0.744,-8.543,Major,0.839,73.426,04-Apr,0.485,Comedy
210051,George Carlin,Telephone Mimes,3ZIKrenBFPOU8dnpU4UuJ6,29,0.845,0.5,69627,0.938,0,A,0.888,-13.204,Major,0.912,93.244,04-Apr,0.139,Comedy
68684,Paul Mooney,OJ Pt 8,47raoKAFAfi4TjKCVLpChC,15,0.726,0.687,72307,0.491,0,B,0.877,-14.971,Minor,0.95,77.441,01-Apr,0.875,Comedy
113156,empty_field,My Letter to Hank,64ybTt8CKxPdeXBNnu08Op,31,0.931,0.484,196793,0.67,0,F,0.736,-10.038,Major,0.881,92.785,04-Apr,0.377,Comedy
72549,Jackie Kashian,Tantric Sex,3sSv9GZ8wnawrk9U5cRHlN,12,0.801,0.711,178720,0.717,0,A,0.699,-6.728,Major,0.837,126.539,04-Apr,0.698,Comedy
117015,Martin Lawrence,Worring About Your Weight,0G16Exj8jhgzdexanli9zE,23,0.808,0.576,335573,0.57,0,A#,0.944,-15.865,Minor,0.904,110.076,04-Apr,0.473,Comedy
158432,Andrew Dice Clay,The Divider - Live At Dangerfield's/1989,1hovkSJMIpP5hfuyb756G4,16,0.685,0.656,130600,0.331,0,G#,0.739,-17.665,Major,0.943,71.697,03-Apr,0.604,Comedy
