instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
41581,empty_field,World News,18nTHX1dgL1R3fxxOEvTpK,42,0.0106,0.544,-1,0.813,0.377,E,0.345,-8.871,Major,0.0398,121.892,04-Apr,0.579,Folk
112136,Frightened Rabbit,Keep Yourself Warm,597dz7YS9aUKQCBdFDahlZ,43,0.00363,0.261,333027,0.572,0.00134,G,0.158,-5.48,Major,0.0323,114.052,04-Apr,0.0382,Folk
128900,empty_field,All I Wanted,5nzEilkVhvnCD0xpW3raTy,40,0.835,0.501,201800,0.176,0.000629,F,0.106,-12.868,Minor,0.0338,?,04-Apr,0.125,Folk
173682,Elizabeth Mitchell,"Little Bird, Little Bird",0hihLCB6tescIIqSjujfa1,41,0.96,0.487,-1,0.223,0.00711,C,0.121,-17.7,Minor,0.367,175.357,04-Apr,0.641,Folk
196905,The Paper Kites,Don't Keep Driving,0FZmAvivvifvtN3pZScbw1,45,0.349,0.349,-1,0.499,0.756,F#,0.127,-6.832,Major,0.029,113.476,04-Apr,0.115,Folk
174273,Norah Jones,Painter Song,4Gll5NDxtVyLM89pz6zut9,51,0.838,0.547,162240,0.0579,1.46E-06,A,0.0976,-15.964,Major,0.0416,79.633,04-Apr,0.371,Folk
119558,Broken Bells,Medicine,0mFgfBwcbZjAxf6bZHVsuh,47,0.18,0.765,-1,0.686,0.000837,B,0.153,-7.191,Minor,0.0367,122.021,04-Apr,0.569,Folk
20537,Lights,Meteorites,51FpzuGkRYXFgsE2zXt9av,40,0.769,0.453,307707,0.317,4.45E-05,E,0.11,-8.464,Major,0.0272,78.169,04-Apr,0.101,Folk
22914,empty_field,Famous Blue Raincoat,7KbAmLLyIfQ33RfbaoPIGc,61,0.948,0.474,310773,0.0404,0.000263,A,0.111,-22.208,Minor,0.0387,119.415,03-Apr,0.18,Folk
185514,empty_field,Bloodbuzz Ohio,7LAhKXDNWwq3CmnFP3UIOP,58,0.0554,0.39,-1,0.834,0.18,A,0.103,-6.367,Major,0.0444,157.077,04-Apr,0.684,Folk
157427,Bob Dylan,Hurricane,2r7WM2Ow8IrskEkfE7IX6m,69,0.0409,0.509,-1,0.827,0,C,0.12,-7.715,Major,0.079,135.601,04-Apr,0.743,Folk
85353,Patrick Watson,Love Songs For Robots,3gnZ5IguvkLCAGVKJdHD7n,50,0.915,0.419,217606,0.237,0.807,F#,0.123,-14.936,Major,0.0334,117.069,04-Apr,0.082,Folk
154742,Wild Child,Follow Me,6gU7ohksNd6LsEJMWfDRhp,44,0.591,0.444,211120,0.376,0.0476,C,0.0884,-13.598,Major,0.0687,92.019,04-Apr,0.0798,Folk
57523,empty_field,Nonbeliever,2x91iJc0UkFcjRMEZ2CoWB,46,0.174,0.359,220020,0.515,0.000214,D,0.102,-6.793,Major,0.0362,?,04-Apr,0.188,Folk
21109,Lucinda Williams,Are You Alright?,5JEx7HbmvHQQswJCsoo9rA,46,0.265,0.603,318293,0.43,0.000378,B,0.101,-8.875,Major,0.0291,119.173,04-Apr,0.346,Folk
84119,Death Cab for Cutie,Grapevine Fires,6YQqilJQTaUBJZ5rPDGvw6,51,0.699,0.619,-1,0.427,0.00238,A#,0.0823,-10.737,Major,0.04,61.75,04-Apr,0.436,Folk
73572,Raffi,Owl Singalong,0XlEW7JnVJKgIs1jePjiyj,47,0.923,0.671,183520,0.188,0.000476,G,0.129,-11.378,Major,0.0411,125.729,04-Apr,0.69,Folk
152815,Gregory Alan Isakov,"That Sea, the Gambler",1Pv9XvvQE3KXs66DWKOhmy,40,0.38,0.379,286665,0.367,0.00809,B,0.0975,-9.7,Minor,0.0299,117.527,04-Apr,0.11,Folk
37699,Beach House,All Your Yeahs,0xpKRzMR9x53jKSdugItan,43,0.776,0.601,228253,0.512,0.0261,B,0.0919,-11.56,Major,0.0265,100.536,04-Apr,0.318,Folk
160286,The Paper Kites,A Silent Cause,5c9qm0bMYawSyRNUTmUMs5,43,0.939,0.387,263827,0.218,0.0221,B,0.109,-15.858,Major,0.0393,179.939,04-Apr,0.371,Folk
104599,Daniel Johnston,Story Of An Artist,7mLc9790N1V1HKUvKJAY1C,44,0.986,0.408,311547,0.316,0.231,C,0.332,-10.771,Major,0.0416,106.133,04-Apr,0.671,Folk
30329,empty_field,Wildflowers,3NrAMPb3hlWCmw9kepqBmM,67,0.588,0.537,190320,0.315,2.29E-05,F,0.206,-13.79,Major,0.0271,86.813,04-Apr,0.575,Folk
