instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
77331,empty_field,La Familia,2LQwuRI1h4Q4qk4HzK9zE2,49,0.099,0.823,159232,0.651,0,C#,0.121,-5.313,Major,0.483,179.98,04-Apr,0.123,Hip-Hop
67639,UGK,Int'l Players Anthem (I Choose You),5e574bhjycX1eH2l4Auage,61,0.0598,0.697,258987,0.681,0,E,0.301,-5.084,Minor,0.219,77.847,04-Apr,0.82,Hip-Hop
23717,Rick Ross,Push It,0fTx5ET8US1Bh33OBFeugm,60,0.246,0.665,208600,0.779,0,G,0.364,-7.085,Major,0.258,150.952,04-Apr,0.75,Hip-Hop
56966,Hopsin,Sag My Pants,2gNfxysfBRfl9Lvi9T3v6R,59,0.171,0.871,-1,0.567,0,D,0.0551,-9.264,Major,0.364,97.422,04-Apr,0.794,Hip-Hop
143884,Pitbull,Messin' Around,3J3ZYcVPvgoaJanat6bU9P,56,0.0157,0.576,223265,0.807,0,D,0.0338,-4.602,Major,0.0454,?,04-Apr,0.765,Hip-Hop
109279,Wifisfuneral,Movin Slow,1p8wRophmB7ZjQgJHee04Y,50,0.279,0.718,136000,0.86,0,F,0.159,-5.735,Minor,0.221,90.043,04-Apr,0.789,Hip-Hop
99916,empty_field,Cake,0XDtKP1xoGUDvdccIHezsf,65,0.372,0.775,211862,0.539,8.11E-06,F,0.225,-4.303,Major,0.0881,144.966,04-Apr,0.624,Hip-Hop
89451,Rick Ross,Stay Schemin,6QgPBFvt3r9LeZDL5YsgJO,64,0.0769,0.558,267720,0.733,0,G,0.18,-4.194,Minor,0.212,162.214,04-Apr,0.301,Hip-Hop
123848,Nas,Cops Shot The Kid,2RqZFOLOnzVmHUX7ZMcaES,58,0.0264,0.442,-1,0.71,0,G,0.618,-5.142,Major,0.684,205.116,04-Apr,0.508,Hip-Hop
29020,Gucci Mane,St. Brick Intro,3SkGfmrjF6zMh46pwGZb6t,53,0.338,0.796,145147,0.597,0,C,0.212,-6.907,Minor,0.387,149.94,04-Apr,0.416,Hip-Hop
20282,Eazy-E,Ole School Shit,3AzQU9PUcGe9wLERQpDXQA,56,0.00132,0.787,242107,0.671,0,C#,0.0783,-5.308,Minor,0.0906,81.897,04-Apr,0.637,Hip-Hop
143012,Childish Gambino,Feels Like Summer,5qW6ZYct54PhKliCntyxRX,76,0.162,0.554,297404,0.596,0.00482,G,0.0805,-8.214,Major,0.13,165.728,04-Apr,0.255,Hip-Hop
21528,empty_field,HOTTIE,3VSuWxZM6x6V3ig5nYtikL,62,0.163,0.856,197148,0.712,0.0312,C#,0.123,-6.355,Minor,0.0621,?,04-Apr,0.774,Hip-Hop
116800,The Game,Wouldn't Get Far,24Pi0KCtYWtnKxxzopkcPG,57,0.152,0.439,251040,0.756,0,E,0.412,-5.341,Minor,0.289,94.188,04-Apr,0.686,Hip-Hop
207084,A$AP Rocky,Bad Company (feat. BlocBoy JB),3kk1Zk2v1ParXC0dxfG0x7,69,0.0679,0.901,183809,0.529,0,G#,0.536,-7.94,Major,0.413,144.941,04-Apr,0.343,Hip-Hop
213813,REASON,Drive Slow / Taste Like Heaven,1r5JnD5hiJrViG0DUG02Jv,54,0.146,0.576,281656,0.697,0,D,0.113,-7.921,Major,0.393,?,04-Apr,0.573,Hip-Hop
141544,Robb Bank$,Bad Vibes Forever,786h4kDeZiX5nYvOwA3wtE,51,0.655,0.78,219481,0.654,0,F,0.128,-7.104,Minor,0.154,?,04-Apr,0.528,Hip-Hop
177011,Trey Songz,Foreign,03ThZweiBWFP8tOGsk6QMO,56,0.0254,0.749,249000,0.643,0,F,0.101,-7.424,Minor,0.114,123.92,04-Apr,0.651,Hip-Hop
172413,Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",0omH6Dbw21O4Hw46cTbMBF,59,0.061,0.787,-1,0.743,0,C#,0.294,-4.206,Major,0.0642,?,04-Apr,0.454,Hip-Hop
72074,Eminem,So Bad,3IpG4SvqxHmbZslvDSIIZP,62,0.304,0.773,325347,0.811,0,C#,0.174,0.496,Major,0.0882,81.037,04-Apr,0.774,Hip-Hop
175440,empty_field,Overdose,7dUdMZqfGSIt0ZkmTOgRLA,65,0.0382,0.731,-1,0.706,2.41E-05,C#,0.636,-4.958,Major,0.417,153.074,04-Apr,0.384,Hip-Hop
214431,empty_field,1999 WILDFIRE,0c4ThdRTb9wxMM2RmF4Bs9,72,0.253,0.811,251250,0.57,0,F,0.148,-8.093,Major,0.129,128.066,04-Apr,0.814,Hip-Hop
79365,empty_field,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",44ROJAxh2jBDQpxgMMIiCC,57,0.405,0.512,-1,0.427,0.0837,A,0.0976,-7.338,Minor,0.0277,75.027,04-Apr,0.191,Hip-Hop
144191,empty_field,The Enemy (feat. Fat Joe),0Dn7ypkeVKkHKAc56R6cqq,51,0.115,0.6,168013,0.649,0.00019,B,0.824,-8.372,Major,0.393,?,04-Apr,0.877,Hip-Hop
61146,Pav Dharia,Na Ja,1NjmSXMzvwoM3lHmDRcUfs,57,0.0724,0.772,-1,0.649,0,D,0.0761,-6.411,Major,0.143,90.072,04-Apr,0.824,Hip-Hop
197374,Futuristic,Fire,5cnfVkmhKwMuTys0glblGB,47,0.447,0.523,163721,0.406,0,F#,0.184,-12.131,Major,0.4,?,04-Apr,0.539,Hip-Hop
