instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
27324,Pat Coil,You're The Cream In My Coffee,0pMHlvgPK2juACBADtKRvm,38,0.891,0.701,196960,0.295,0.765,A#,0.0815,-14.493,Major,0.0354,?,04-Apr,0.609,Jazz
74522,The Manhattan Transfer,Tuxedo Junction,2bVzfgrlscQu6yVpbYVnvF,43,0.684,0.716,-1,0.31,4.82E-06,C#,0.0586,-11.676,Minor,0.04,111.458,04-Apr,0.482,Jazz
171224,Al Hirt,Java,6bxtai04eVsvV7IZGqOXMy,37,0.803,0.679,-1,0.721,0.893,C#,0.088,-10.36,Major,0.0535,92.43,04-Apr,0.963,Jazz
101707,Chick Corea,My One And Only Love,2FiZEXOKoTbgxD9TRo6hQK,47,0.819,0.351,216707,0.209,0.914,A#,0.102,-23.533,Minor,0.0361,159.504,04-Apr,0.448,Jazz
132211,empty_field,Inner Flight,3m2214xkiV8xEI8JGPFSHQ,33,0.474,0.335,182947,0.668,0.869,E,0.117,-14.831,Minor,0.0486,?,04-Apr,0.581,Jazz
172186,goosetaf,Peach Rings,4IL5B1c7iUHMA5Rr1ucNo6,42,0.673,0.622,111000,0.36,0.0867,D#,0.0719,-17.632,Major,0.274,80.015,04-Apr,0.0411,Jazz
212527,Chet Baker,My Buddy - Vocal Version,2prHMFvkekTqqFdB5r6QJJ,44,0.635,0.728,-1,0.0736,3.50E-05,A,0.0922,-19.606,Minor,0.0418,134.88,04-Apr,0.468,Jazz
168867,Norah Jones,Cold Cold Heart,6TWkDy3QEKCWcgL39TNWlQ,53,0.909,0.603,218627,0.0903,0.000785,D,0.0866,-14.499,Major,0.0397,114.133,04-Apr,0.377,Jazz
149203,Earl Klugh,Midnight In San Juan,5udLPy81045BWwR07QD3Fl,31,0.658,0.744,352773,0.57,0.869,G,0.11,-11.233,Minor,0.0293,119.966,04-Apr,0.914,Jazz
203024,Stacey Kent,Landslide,0lqcnnclUdVbPPboOldEPp,45,0.957,0.528,228240,0.258,0.00259,C,0.102,-11.567,Major,0.0331,139.254,04-Apr,0.342,Jazz
89408,Federico Aubele,Postales,5BBIXjMqYtLY9hdw7fJRLW,34,0.145,0.723,247040,0.558,0.000574,G,0.294,-7.485,Major,0.0529,94.512,04-Apr,0.716,Jazz
83480,Jamiroquai,Cosmic Girl,43gZ3o30uy5c2joM7w5qO0,65,0.0261,0.633,244147,0.921,0.00102,B,0.309,-7.719,Minor,0.0495,119.865,04-Apr,0.925,Jazz
