instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
115156,Gaetano Donizetti,"La fille du régiment / Act 1: ""Sacré nom d'une pipe!""",0Zce24eeoF7cTpbgOFRq6T,16,0.96,0.417,130533,0.182,7.71E-06,G,0.262,-19.608,Major,0.224,?,04-Apr,0.108,Opera
140883,Giacomo Puccini,La Bohème: Che gelida manina! (Rodolfo) (1997 Digital Remaster),1EfjY8x3K9JbMwm8EhicpI,25,0.987,0.171,301600,0.113,0.000291,G#,0.208,-16.151,Major,0.0398,85.874,03-Apr,0.0706,Opera
62600,Giuseppe Verdi,Aida (1997 Digital Remaster): Chi mai fra gl'inni e i plausi,5ZEYrrqlqL5Z5BWpakBb1S,8,0.993,0.277,-1,0.0726,0.0896,G,0.159,-25.541,Minor,0.0484,96.05,04-Apr,0.0464,Opera
156965,Philharmonia Orchestra,"Rigoletto (1996 Digital Remaster), Act 3: La donna è mobile",68wibJU4yMiqNX79IaLAsN,4,0.995,0.454,119760,0.00331,0.951,A,0.121,-36.652,Major,0.0466,81.87,04-Apr,0.659,Opera
93128,Friedrich von Flotow,Martha oder Der Markt zu Richmond: M'appari tut amor,0ykOwUlNIOejwOOSylGlQs,4,0.993,0.263,211773,0.234,9.42E-06,C,0.138,-10.664,Major,0.038,?,04-Apr,0.125,Opera
99269,Giacomo Puccini,"Puccini: La rondine, Act 2: ""Nella trepida luce d’un mattin"" (Una voce interno, Un uoma che fischia)",1zkXUXNHpYQTcXZAaZbeEp,6,0.852,0.173,83733,0.00306,5.85E-06,C#,0.093,-45.539,Major,0.0399,61.05,03-Apr,0.0701,Opera
51373,Renata Tebaldi,Addio del passato - La traviata Atto III,0QrSTdUHiYrNZDDh8nYyqT,15,0.962,0.237,287560,0.111,0.000102,E,0.21,-19.58,Minor,0.0582,79.817,05-Apr,0.0426,Opera
183279,Richard Wagner,"Flying Dutchman, Overture",4WIuXVJJxyvBWmpxLqE1Mo,2,0.921,0.145,630720,0.151,0.897,G,0.255,-18.008,Major,0.0433,170.861,04-Apr,0.0366,Opera
52507,Francesco Cavalli,"La Calisto: Atto I, scena 14. Calisto: ""Piante ombrose""",4Kdu9AlfQyu0o6r2ozCMTc,11,0.914,0.185,147733,0.0474,0,C,0.575,-20.091,Major,0.0494,178.118,05-Apr,0.0779,Opera
76032,Gaetano Donizetti,"Donizetti: La fille du Regiment: Qu'ai-je vu? Un soldat ici! - Marquise, Sulpice, Tonio - Act Two",3UXQEfdcI6MWoNFUQ2uXYg,4,0.951,0.42,-1,0.0965,0,C,0.703,-28.409,Major,0.258,?,03-Apr,0.148,Opera
98350,Alfredo Kraus,Quiéreme Mucho,3bpV86Ui1ND9aRU5uhQRRX,20,0.978,0.221,246440,0.272,0.000114,G,0.273,-8.645,Minor,0.0336,89.545,03-Apr,0.19,Opera
41689,Thomas Quasthoff,Nice 'N' Easy,3SXqsPn8xcF3v1pnO1Yrxn,29,0.713,0.547,-1,0.354,3.88E-05,D,0.0939,-10.591,Minor,0.0419,119.224,04-Apr,0.432,Opera
60985,empty_field,"La Gioconda / Act 2: ""Cielo e mar"" - Remastered",3dLiBBKbeUIhzGNeuo5JGS,11,0.958,0.196,276000,0.185,0,D#,0.109,-16.011,Major,0.0427,177.712,03-Apr,0.181,Opera
