instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
173589,Nicki Minaj,Bed (feat. Ariana Grande),5k0cYQMQ8YKxJVp34DN49L,77,0.0348,0.757,189533,0.73,6.17E-05,G,0.136,-6.304,Major,0.187,90.013,04-Apr,0.451,Pop
99177,Hailee Steinfeld,Hell Nos And Headphones,60NJCs5aW9t957nuVa3Aqc,62,0.0131,0.706,-1,0.562,0,A#,0.0974,-6.867,Major,0.0547,102.987,04-Apr,0.492,Pop
183071,A$AP Mob,Frat Rules,6dS5dbyAXpCStP3AU0J3dI,62,0.181,0.635,218947,0.777,0,C#,0.357,-6.018,Major,0.231,128.09,04-Apr,0.177,Pop
144761,empty_field,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",10HaEOFedMLFE2I7e9a2QY,82,0.165,0.792,-1,0.895,0,C#,0.0501,-3.112,Minor,0.0589,94.968,04-Apr,0.794,Pop
200206,Brothers Osborne,I Don't Remember Me (Before You),2As7I7LdFjWSupvAP8b1iX,64,0.104,0.614,-1,0.614,3.59E-05,E,0.104,-7.497,Minor,0.0314,?,04-Apr,0.598,Pop
97380,SZA,Garden (Say It Like Dat),0wsJLHodMH1rVpVcKaharX,72,0.0705,0.727,-1,0.456,0,A,0.124,-7.26,Major,0.285,111.331,04-Apr,0.548,Pop
111633,Saweetie,Up Now (feat. G-Eazy and Rich The Kid),5gW5dSy3vXJxgzma4rQuzH,67,0.00294,0.956,198088,0.544,0,C#,0.104,-6.41,Major,0.0822,?,04-Apr,0.127,Pop
137661,Good Charlotte,Girls & Boys,4o5006M93XpOX3u3gXpCtR,62,0.00212,0.663,183493,0.72,0,D#,0.358,-5.497,Major,0.0331,135.342,04-Apr,0.608,Pop
41415,Witt Lowry,Blood in the Water,45QAbhiq5ibQbFnWVS7TJH,58,0.423,0.544,213333,0.793,3.82E-05,C,0.0904,-6.453,Minor,0.246,98.343,03-Apr,0.339,Pop
87973,Dillon Francis,Say Less,3f9Vq2NkEErxgbToSAztFD,64,0.101,0.681,204699,0.925,1.70E-05,G#,0.343,-5.436,Major,0.209,135.953,04-Apr,0.646,Pop
140697,ASTRO,All Night,2dO10tYNGoxskWCRNdlvME,68,0.234,0.573,223746,0.77,0,B,0.11,-4.622,Minor,0.186,150.065,04-Apr,0.576,Pop
169498,Alta Consigna,Te Deseo Lo Mejor,1NlWBpNYAnFT7gMGyC0Y1M,63,0.755,0.726,155513,0.294,0,A,0.157,-6.491,Major,0.0331,89.9,03-Apr,0.786,Pop
204390,Chris Janson,Good Vibes,0ROpCHlrI1zAutGN7xQy5u,60,0.022,0.582,165587,0.846,0,C,0.133,-2.771,Major,0.0451,92.004,04-Apr,0.736,Pop
