instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
213909,Britney Spears,Boys,2mdo8oOTkAicfFOGl400dW,51,0.0245,0.9,206960,0.693,0.00278,B,0.04,-3.989,Minor,0.0751,107.021,04-Apr,0.864,R&B
157639,Gallant,Cave Me In,6V89K6pllLbcRfjUGFIFhP,56,0.346,0.689,214159,0.512,2.07E-06,C#,0.106,-6.206,Major,0.0509,90.091,04-Apr,0.619,R&B
77273,Musiq Soulchild,Forthenight,4lcNHlZZWpTV5rioov5t8t,39,0.295,0.7,229467,0.673,0,D#,0.204,-7.204,Minor,0.245,101.138,04-Apr,0.76,R&B
179283,B2K,"Bump, Bump, Bump (feat. P. Diddy)",6tS9ZRbFnZXVztw11VCRZo,43,0.107,0.838,-1,0.661,0,C#,0.115,-6.387,Minor,0.196,95.493,04-Apr,0.887,R&B
171085,Kirk Franklin,Melodies From Heaven,6TEiFwaiHERpdfG6WnGed1,43,0.028,0.29,274880,0.835,0,C,0.976,-7.134,Major,0.263,172.584,04-Apr,0.473,R&B
132647,KAYTRANADA,LITE SPOTS,5PUr1HAQlDD7RlbILdu37Q,55,0.0342,0.884,230920,0.549,0.0724,C#,0.112,-11.683,Major,0.471,120.462,04-Apr,0.394,R&B
207310,Kelly Clarkson,It's Quiet Uptown,5snjCnuaefsNK48q6yR1Hy,51,0.497,0.732,277880,0.456,0,A#,0.176,-8.849,Major,0.0404,127.959,04-Apr,0.338,R&B
82158,offonoff,gold (Feat. Dean),6iKnzmeyi2Ki3UMrO1b2x8,56,0.57,0.883,-1,0.647,1.05E-06,A#,0.359,-8.2,Minor,0.0799,117.016,04-Apr,0.729,R&B
110362,empty_field,Good side in,1EIdwrjUNFB2qoKj033ABC,44,0.772,0.485,229947,0.509,0.000788,A,0.123,-9.248,Major,0.0356,109.385,04-Apr,0.395,R&B
88914,empty_field,Tapestry,6yphoCpAnlICXucq8kXnki,48,0.703,0.429,229021,0.353,0.000253,G#,0.106,-9.038,Major,0.0758,111.696,04-Apr,0.165,R&B
33103,empty_field,Rap Shit,05mLfhGm0m7KIxtM7KfkhZ,43,0.0296,0.784,151187,0.641,0,G,0.0653,-6.176,Major,0.236,?,04-Apr,0.396,R&B
156119,Demi Lovato,Old Ways,1iQ5E4z6CJ38dIzvMI9Wdo,51,0.211,0.629,-1,0.699,0,G,0.249,-6.474,Minor,0.0566,?,04-Apr,0.56,R&B
209223,Zico,Boys And Girls,2LqYpghBcqTdcW2zi5CWWU,49,0.0399,0.815,200170,0.75,0,C#,0.0553,-3.029,Major,0.0581,103.037,04-Apr,0.614,R&B
73170,Mariah Carey,Underneath the Stars,6nqAD8ch0ZUUFojMFf2xdT,50,0.59,0.607,-1,0.403,0,G,0.233,-11.464,Major,0.0514,79.093,04-Apr,0.485,R&B
74961,Keri Hilson,Turnin Me On - Original Clean,0xmtSOofR05Lu0ggb5lZ7X,47,0.00329,0.67,247800,0.582,3.67E-06,C#,0.174,-4.767,Major,0.0672,?,04-Apr,0.0942,R&B
43229,NIKI,Chilly,5YOoPykalMFlw8ye3qybvX,61,0.617,0.734,230000,0.271,5.27E-06,G,0.101,-11.932,Major,0.382,103.241,03-Apr,0.237,R&B
91620,Fantasia,Lose to Win,30RQ21NOZGPBvue0cSX5De,44,0.0112,0.718,252173,0.7,0,G#,0.0716,-5.795,Major,0.0497,102.501,04-Apr,0.468,R&B
122742,Trey Songz,1x1,1ntaQ5nSrrbJwEuwAAbHiY,60,0.0277,0.493,-1,0.584,0,A,0.191,-6.906,Minor,0.167,103.701,04-Apr,0.485,R&B
78284,Tamar Braxton,My Forever,59myyLZ02e3U7nREwtSzNQ,41,0.38,0.55,-1,0.497,0,C#,0.071,-4.755,Major,0.0267,79.92,04-Apr,0.243,R&B
162819,James Morrison,Cross The Line,1h1CvW9MnYcR70n6yE5ttO,36,0.403,0.489,179867,0.542,0,E,0.109,-6.914,Major,0.0649,82.235,04-Apr,0.35,R&B
122844,Puma Blue,Bruise Cruise,1IJvO4FVyfi7SenbjCwJ26,47,0.165,0.639,-1,0.377,0.094,C#,0.105,-9.206,Minor,0.101,126.228,04-Apr,0.209,R&B
