Model,MSE,RMSE,RSE,MAE,RUN TIME
LinearRegression(),2335265.55,1528.16,579.83,895.14,0.004603385925292969
KNeighborsRegressor(),2207730.63,1485.84,548.17,831.48,0.18591547012329102
Ridge(),2335259.54,1528.16,579.83,895.33,0.0
DecisionTreeRegressor(),3613430.34,1900.90,897.19,1050.34,0.01134490966796875
RandomForestRegressor(),1990624.58,1410.89,494.26,792.20,0.517432689666748
GradientBoostingRegressor(),1879375.87,1370.90,466.64,776.10,0.015626192092895508
SGDRegressor(),2347426.68,1532.13,582.85,883.99,0.015624523162841797
SVR(),7577653.59,2752.75,1881.48,1349.92,63.24790096282959
LinearSVR(),3301263.80,1816.94,819.68,985.26,0.0
MLPRegressor(),2122725.74,1456.96,527.06,823.62,0.017391681671142578
